year,state,state_name,summary,duration_seconds
2022,CA,California,Low flying triangle over the trees and completely silent.,20
2022,CA,California,Orange/red Triangle object,10
2022,WI,Wisconsin,"i saw 3 large lights, in a triangle shape, traveling southeast",30
2022,NC,North Carolina,"Sighting of UFO in Statesville, NC heading towards Charlotte",60
2022,CO,Colorado,Park bench viewing.,20
2022,OK,Oklahoma,Large silent triangle moving across the sky,10
2022,AZ,Arizona,Bright Lights formed and disappeared in a triangular shape,120
2022,FL,Florida,3 lights triangularly spaced out then was able to see the black triangle,15
2022,TX,Texas,"I was on my balcony looking out west and notice craft coming in from the southwest and hovering, shortly after noticed a second one",7200
2022,CA,California,It was night time during the lunar eclipse and the triangular shaped craft came from the north and made a wide turn towards the moon.,60
2022,MN,Minnesota,We saw something like a craft hovering then disappear,600
2022,DE,Delaware,Bright orange V shape,300
2022,CA,California,Saw a ball of fire. Orange orb. I looked at it for a few seconds and the light vanished but I saw a slick black metallic craft,10
2022,MS,Mississippi,"Shiny metallic triangle that approached Military helicopter, with blue light on bottom and accelerated at incredible speed",20
2022,FL,Florida,Triangular shape craft with 3 quite large white lights at each point,30
2022,OH,Ohio,I saw a large white triangular craft in orbit moving north to south,15
2022,WI,Wisconsin,while driving i saw a very low craft with three white lights move strangely just above the trees,60
2022,FL,Florida,((HOAX))  alien,5
2022,SC,South Carolina,triangular shaped craft moving sw,150
2022,MA,Massachusetts,Triangle formation of lights,600
2022,WA,Washington,As I was walking through the parking lot of my apartment complex I watched a cluster of 3 bright orange lights rising to the south.,240
2022,FL,Florida,I walked outa rounded triangle hovering above it had alternating blue and white bright lights in rings,300
2022,TX,Texas,Just now - heard helicopter over my apartment - looked out to see Triangle craft - being followed by police chopper,120
2022,TX,Texas,Triangular UFO,180
2022,WA,Washington,Two triangle shaped craft silently hovered over,300
2022,TN,Tennessee,Walked outside to my back porch and immediately saw a dark triangle shape craft moving totally silent from E to W with dimmed lights.,7
2022,AZ,Arizona,Triangular shaped aircraft without identification lights and completely silent moving against the local flight pattern across the sky.,10
2022,CA,California,"Silent, triangular flying object with a row of 4 dimly-lit lights straight down the underside moving at a slow-medium rate of speed",240
2022,CA,California,"Black triangle w/red & green flashing lights, above air traffic lanes, hovering then EXTREMELY fast drop to very low altitude",600
2022,FL,Florida,"5 circle what looked like lights underneath in the shape of a ""v"". Craft was transparent and very quite.",15
2022,CA,California,See them often in this area they are frequent around someone in town,40
2022,NC,North Carolina,"Low flying triangle craft with red, white, blue flashing light on corners.",60
2022,KY,Kentucky,saw a triangle after coming home from my friends,1200
2022,NJ,New Jersey,Triangle shaped aircraft with swirling lights,15
2022,MN,Minnesota,At my kitchen sink I noticed a bright orange thing flying low and over my house.,45
